"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x8ebb3ec65733ba94f51882752d9d9c60aa664689bf6097add0a046cad8bce879","1631545264","2021-09-13 15:01:04","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","4,187,690.587408","0x5f18c75abdae578b483e5f43f12a39cf75b973a9","USDC yVault","yvUSDC",""
"0x8ebb3ec65733ba94f51882752d9d9c60aa664689bf6097add0a046cad8bce879","1631545264","2021-09-13 15:01:04","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x5f18c75abdae578b483e5f43f12a39cf75b973a9","4,500,000","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x1b64e8d81bbb45ce50e2b4658a9d19285e68aaf2671545d588eca30618cabbe7","1631545814","2021-09-13 15:10:14","0xf5bce5077908a1b7370b9ae04adc565ebd643966","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","4,004,814.555550999999999999","0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3","Magic Internet Money","MIM",""
"0x1b64e8d81bbb45ce50e2b4658a9d19285e68aaf2671545d588eca30618cabbe7","1631545814","2021-09-13 15:10:14","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xf5bce5077908a1b7370b9ae04adc565ebd643966","4,187,690.587408","0x5f18c75abdae578b483e5f43f12a39cf75b973a9","USDC yVault","yvUSDC",""
"0x89c3bf2505dd5b3f9e522e34770dc0a9147f19960b084a089c345f06417bb63f","1631545930","2021-09-13 15:12:10","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xa79828df1850e8a3a3064576f380d90aecdd3359","4,008,158.82","0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3","Magic Internet Money","MIM",""
"0x89c3bf2505dd5b3f9e522e34770dc0a9147f19960b084a089c345f06417bb63f","1631545930","2021-09-13 15:12:10","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","4,000,178.260357707897258231","0x5a6a4d54456819380173272a5e8e9b9904bdf41b","Curve.fi Factory USD Metapool: Magic Internet Money 3Pool","MIM-3LP3CRV-f",""
"0x3f9b8bd9ac90706a6823daa64b56db28d97790dbe02bcd15d2bc353a88cdc4b9","1631546169","2021-09-13 15:16:09","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","3,991,570.451379283095647399","0x2dfb14e32e2f8156ec15a2c21c3a6c053af52be8","Curve MIM Pool yVault","yvCurve-MIM",""
"0x3f9b8bd9ac90706a6823daa64b56db28d97790dbe02bcd15d2bc353a88cdc4b9","1631546169","2021-09-13 15:16:09","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x2dfb14e32e2f8156ec15a2c21c3a6c053af52be8","4,000,178.260357707897258231","0x5a6a4d54456819380173272a5e8e9b9904bdf41b","Curve.fi Factory USD Metapool: Magic Internet Money 3Pool","MIM-3LP3CRV-f",""
"0xfb319c633900de86d7e2f11e3f6f006d96e2b834494f3a31fbe6a4542f52edcd","1631588523","2021-09-14 03:02:03","0x5d3a536e4d6dbd6114cc1ead35777bab948e3643","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","6,000,000","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0xf68003936d4473329eb28319b1d0f9d1376bb0eefc27d78227f54ef65b50c3e0","1631588829","2021-09-14 03:07:09","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","0.006484711767331686","0x6c3f90f043a72fa612cbac8115ee7e52bde6e490","Curve.fi DAI/USDC/USDT","3Crv",""
"0xf68003936d4473329eb28319b1d0f9d1376bb0eefc27d78227f54ef65b50c3e0","1631588829","2021-09-14 03:07:09","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0.006606","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x10fb2ba51b2e6d78a58794db93eed75a0527962146f268a18074b76aa2c694a9","1631588836","2021-09-14 03:07:16","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xa79828df1850e8a3a3064576f380d90aecdd3359","6,000,000","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0x10fb2ba51b2e6d78a58794db93eed75a0527962146f268a18074b76aa2c694a9","1631588836","2021-09-14 03:07:16","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","5,986,205.686263946159126214","0x5a6a4d54456819380173272a5e8e9b9904bdf41b","Curve.fi Factory USD Metapool: Magic Internet Money 3Pool","MIM-3LP3CRV-f",""
"0x51b56458d05da26af357bc3e0a9ac369cb1f351b9f809b6b5121f04c9a5415b8","1631588836","2021-09-14 03:07:16","0xd8b712d29381748db89c36bca0138d7c75866ddf","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","216,807.548575406914903061","0x090185f2135308bad17527004364ebcc2d37e5f6","Spell Token","SPELL",""
